Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-17,76075.64524647887,76363.8105693822,74922.98395486556,75019.0390625,16123051,0.0,0.0
2024-06-18,75595.33955004699,77036.16558975565,75499.28448073308,76651.9453125,18207598,0.0,0.0
2024-06-19,77900.67148052648,79245.4426281558,77324.34098868535,77996.7265625,24168863,0.0,0.0
2024-06-20,78284.89023246017,78957.27579273898,77996.72499234069,78380.9453125,20288913,0.0,0.0
2024-06-21,77516.448046875,77612.503125,76844.0625,76844.0625,17907523,0.0,0.0
2024-06-24,76555.91039857319,77708.57153380894,76363.80020936724,77420.40625,15454227,0.0,0.0
2024-06-25,77420.39764464728,78573.05865176361,76940.12222501547,77612.5078125,19088458,0.0,0.0
2024-06-26,76940.12027214022,78188.83633148832,76748.01010916359,78092.78125,17783242,0.0,0.0
2024-06-27,78441.08855124081,78730.5390625,77669.2205212163,78730.5390625,11739720,361.0,0.0
2024-06-28,79019.99654907976,79019.99654907976,77958.67791411043,78634.0625,9455929,0.0,0.0
2024-07-01,78634.05729485024,79212.95833014975,78441.09028308374,78923.5078125,11317202,0.0,0.0
2024-07-02,79598.89235368276,79695.37585956602,78634.05729485024,78923.5078125,14471904,0.0,0.0
2024-07-03,79405.92534191626,79405.92534191626,78151.63976543398,78923.5078125,11440328,0.0,0.0
2024-07-04,79984.83491245567,81721.53820367907,79502.41733156028,81625.0546875,43857229,0.0,0.0
2024-07-05,82589.88023823191,84037.1328125,82203.9462184271,84037.1328125,45791193,0.0,0.0
2024-07-08,84808.99561999428,85484.38011298627,83844.16063000572,84326.578125,24035809,0.0,0.0
2024-07-09,84712.515625,85098.44963695899,83844.16409809225,84712.515625,21336201,0.0,0.0
2024-07-10,84519.5486190205,84905.48263097949,84037.13110407176,84712.515625,17813847,0.0,0.0
2024-07-11,85387.89838398973,85677.3488869863,83651.19536601027,84519.546875,24677608,0.0,0.0
2024-07-12,82879.34660100711,83072.31364780806,81142.64317979859,81432.09375,26344386,0.0,0.0
2024-07-15,81721.53292603807,84230.10418468858,81142.63186634949,83651.203125,25193080,0.0,0.0
2024-07-16,83844.17097527081,84905.48959521095,83651.20395346351,84616.0390625,16166688,0.0,0.0
2024-07-17,84037.1371647924,84905.48875432527,83361.75259515572,83651.203125,18186490,0.0,0.0
2024-07-18,80853.17547108745,83844.1640625,80853.17547108745,83844.1640625,24721790,0.0,0.0
2024-07-19,82589.89603080568,83072.31364780806,81142.64317979859,81432.09375,18569122,0.0,0.0
2024-07-22,81432.08162650603,81914.49917168675,79695.37846385542,80081.3125,18987560,0.0,0.0
2024-07-23,81239.11458954112,81721.53213460965,80467.24651743147,80949.6640625,15766389,0.0,0.0
2024-07-24,79984.82813452744,80370.76216653963,79019.99305449695,79116.4765625,16939083,0.0,0.0
2024-07-25,77572.7421875,78151.64324860074,77283.29165694963,77572.7421875,20323811,0.0,0.0
2024-07-26,77862.18144507107,78441.08242235784,77572.73095642768,78055.1484375,14508334,0.0,0.0
2024-07-29,78730.54341133006,79116.4774476601,78248.1258659175,78344.609375,12797136,0.0,0.0
2024-07-30,77572.74733796297,78151.6484375,77186.81327160493,78151.6484375,13169636,0.0,0.0
2024-07-31,78344.60931912992,80949.6640625,78055.1587920888,80949.6640625,20744323,0.0,0.0
2024-08-01,82975.80249699157,83072.28598826715,80177.78125,80177.78125,20900338,0.0,0.0
2024-08-02,78151.65210819723,78537.58619268215,76704.39929137877,76800.8828125,25800275,0.0,0.0
2024-08-05,74002.86101628152,74195.82805934874,67731.43211659664,68889.234375,54608790,0.0,0.0
2024-08-06,72266.14311422413,72652.07712284483,69757.57205818966,69950.5390625,47295226,0.0,0.0
2024-08-07,70432.96006944444,73327.46527777778,70239.99305555555,72073.1796875,32710428,0.0,0.0
2024-08-08,70625.93920299728,71301.32386750681,69950.55453848773,70818.90625,28414729,0.0,0.0
2024-08-09,73038.01475694444,73134.49826388889,71590.76215277778,72073.1796875,16388222,0.0,0.0
2024-08-12,72555.5963576159,73230.98089817881,72169.66233443709,72845.046875,9839259,0.0,0.0
2024-08-13,73809.88717559133,73906.37068823916,72845.05204911302,73423.953125,10716261,0.0,0.0
2024-08-14,74678.2326343912,75064.16665317358,74292.29861560882,74485.265625,13246168,0.0,0.0
2024-08-16,76607.90537328554,77379.7734375,75932.52081709789,77379.7734375,22061478,0.0,0.0
2024-08-19,77283.2890625,77283.2890625,75257.13541666667,75546.5859375,14146565,0.0,0.0
2024-08-20,76704.38539686312,76993.83590779468,75932.5173677123,76125.484375,10683836,0.0,0.0
2024-08-21,75160.65190972222,75836.03645833333,75064.16840277778,75546.5859375,7805598,0.0,0.0
2024-08-22,75932.51996527778,76125.48697916667,75064.16840277778,75546.5859375,8149101,0.0,0.0
2024-08-23,74967.6796875,75643.06418918919,74774.71268701737,74967.6796875,9420306,0.0,0.0
2024-08-26,75353.62337795664,75450.10689060447,73327.46961235217,73423.953125,15655938,0.0,0.0
2024-08-27,73038.02429295845,73809.8924492909,72941.54077341688,73134.5078125,11130145,0.0,0.0
2024-08-28,73134.5051537958,73713.40625,72748.57108965969,73713.40625,9794514,0.0,0.0
2024-08-29,71011.85506756757,72073.17355363176,70915.37156883445,71397.7890625,16884479,0.0,0.0
2024-08-30,71783.7256897712,72362.62670339839,71494.27518295762,71687.2421875,16358520,0.0,0.0
2024-09-02,71880.20224294355,72073.16922883065,70915.36731350806,71783.71875,12641376,0.0,0.0
